VASALLO,ANNA CLELIA,ITALIANA,11/5/1945,F,23/5/2019,23/5/2029,BOLOGNA
RAUZI,CESIRO,ITALIANA,27/1/2009,M,2/1/2015,2/1/2025,ROMA
NABOT,BEATRICE,ITALIANA,7/12/1932,M,22/1/2023,22/1/2033,VIBO VALENTIA
MAZZURCO,FRANCESCO GONARIO,ITALIANA,11/3/1963,M,23/2/2017,23/2/2027,BARI
WAGER,HELENE MARIA,ITALIANA,5/3/1976,F,2/11/2020,2/11/2030,NUORO
DEBALSI,MELISSA RITA,ITALIANA,21/3/2004,F,13/10/2023,13/10/2033,GENOVA
CAZZULINO,NUNZIO LUIGI,ITALIANA,14/4/1927,M,18/8/2019,18/8/2029,ROMA
SALVATORE,DALIA LINA,ITALIANA,24/11/1976,F,26/11/2022,26/11/2032,PALERMO
DEPALMA,MARIA ANGELICA,ITALIANA,25/13/1915,F,27/7/2022,27/7/2032,BOLOGNA
GHOISIO,SALVATORE DANIELE,ITALIANA,26/13/1990,M,21/7/2018,21/7/2028,ROMA
FIZZAROTTI,ROSARIO MARCO,ITALIANA,21/1/1953,M,5/5/2023,5/5/2033,TERAMO
BEASISO,EVALDO VALENTINO,ITALIANA,1/4/1955,M,9/10/2016,9/10/2026,NAPOLI
TOMMASO,DANIELA FRANCA,ITALIANA,20/5/2005,F,5/7/2017,5/7/2027,TORINO
PUZZUOLI,OSVALDO MICHELE,ITALIANA,2/9/1954,M,20/4/2021,20/4/2031,NAPOLI
FARRUGGIA,RENZA RITA,ITALIANA,25/7/1914,F,28/6/2017,28/6/2027,VERCELLI
BEASISO,ANGELO LUIGI,ITALIANA,7/5/1986,M,18/2/2015,18/2/2025,ROMA
CUZZUPOLI,JAMES JOCHEN,ITALIANA,23/12/1931,M,24/8/2019,24/8/2029,POGGIO RENATICO
SCIABA,LUCA SAUL MATTEO,ITALIANA,19/10/1925,M,14/11/2023,14/11/2033,CESENATICO
GIZZONIO,SALVATORE EMANUELE,ITALIANA,14/11/1938,M,28/9/2015,28/9/2025,VIBO VALENTIA
SCIABA,SABRINA,ITALIANA,7/8/1902,F,5/8/2021,5/8/2031,PISA
SPADUZZI,OLIDIO FERNANDO,ITALIANA,10/11/1968,M,10/4/2021,10/4/2031,CAGLIARI
MIALE,ROBERTO ANTONIO L.,ITALIANA,26/13/1931,M,15/7/2023,15/7/2033,CAGLIARI
SPADUZZI,DIEGO GINO,ITALIANA,16/7/1942,M,27/1/2017,27/1/2027,MILANO
UBALDI,ANGELA CARLA,ITALIANA,27/3/1973,F,26/12/2023,26/12/2033,NAPOLI
PHILIP,ANNALIDA,ITALIANA,13/9/1950,F,6/6/2019,6/6/2029,BARI
PIVA,LUIGI SINCLAR,ITALIANA,27/9/1901,M,3/12/2017,3/12/2027,NUORO
TABBANO,ENRICO BRUNO,ITALIANA,4/9/1917,M,17/12/2022,17/12/2032,CESENATICO
CANZUTTI,INA,ITALIANA,27/7/1962,F,6/8/2019,6/8/2029,POGGIO RENATICO
ZUZZI,GERLANDO,ITALIANA,22/7/1994,M,22/6/2015,22/6/2025,PALERMO
TABACCHI,EMILIO SEBASTIANO,ITALIANA,11/7/1904,M,9/3/2021,9/3/2031,MONOPOLI
DIBACCO,DOMENICO PIETRO,ITALIANA,11/1/1954,M,21/6/2023,21/6/2033,TRENTO
FARRUGGIA,RENATO BIAGIO,ITALIANA,14/9/2009,M,26/2/2017,26/2/2027,TERAMO
CORAZZA,CLEO,ITALIANA,12/1/1914,M,14/13/2020,14/13/2030,CAMPOBASSO
SARA,AMBROGIO ENRICO,ITALIANA,6/10/1960,M,19/5/2017,19/5/2027,MILANO MARITTIMA
BERTAGNOLLI,CLAUDIO GIUSEPPE,ITALIANA,10/10/1936,M,26/10/2018,26/10/2028,POGGIO RENATICO
VIA,RODOLFO ASCENZO,ITALIANA,3/11/1984,M,26/1/2021,26/1/2031,PALERMO
PINAMONTI,FAUSTO CARLO ROCCO,ITALIANA,27/7/1915,M,7/3/2021,7/3/2031,BOLZANO
MIALE,CARMEN TIZIANA ALBA,ITALIANA,24/6/1942,F,13/2/2019,13/2/2029,TRENTO
ABALSAMO,GUGLIELMO FRANCO,ITALIANA,18/1/1926,M,26/3/2022,26/3/2032,BARI
PINAMONTI,ALEX CELSO,ITALIANA,3/5/1975,M,20/8/2023,20/8/2033,GAMBETTOLA
AYALA,PIER FRANCO,ITALIANA,5/1/1959,M,15/5/2019,15/5/2029,ROMA
BAZZONI,ANTONIO ONORATO,ITALIANA,19/2/1932,M,27/3/2018,27/3/2028,PALERMO
SARA,PAOLA ELIANA,ITALIANA,17/4/1970,F,7/11/2016,7/11/2026,TORINO
BUZZURRO,ADRIANO CARMINE,ITALIANA,19/3/1955,M,23/6/2015,23/6/2025,BOLOGNA
SPADUZZI,MARINO IVAN,ITALIANA,9/4/1971,M,26/8/2019,26/8/2029,NUORO
VALENTINO,CORINTO,ITALIANA,27/1/1995,M,11/13/2015,11/13/2025,VENEZIA
SPADUZZI,IGNAZIO GIANLUCA,ITALIANA,12/2/1921,M,11/1/2021,11/1/2031,TORINO
MOMBELLO,BONIFACIO ANTONIO,ITALIANA,21/3/1966,M,1/10/2019,1/10/2029,ROMA
EAFOLLA,FRANCA MARINA,ITALIANA,25/10/1909,F,27/5/2023,27/5/2033,MONOPOLI
SHUSETTE,SOCCORSO GIOVANNI,ITALIANA,9/13/1970,M,5/11/2015,5/11/2025,NAPOLI
ROSSI,ENILDE,ITALIANA,10/5/2000,F,21/7/2022,21/7/2032,VIBO VALENTIA
RUSSO,ANDREA A,ITALIANA,12/7/1932,M,5/10/2015,5/10/2025,MONOPOLI
CEBRELLI,FELICE SAVERIO,ITALIANA,8/5/1926,M,8/3/2018,8/3/2028,GENOVA
PEZZUTO,SALVATORE GIOVANNI,ITALIANA,4/5/2009,M,28/11/2023,28/11/2033,VIBO VALENTIA
CAZZULINO,ANNA ANGELA,ITALIANA,19/12/1968,F,14/9/2023,14/9/2033,POGGIO RENATICO
SPADUZZI,SANZIO ROMANO,ITALIANA,4/3/1973,M,21/9/2021,21/9/2031,GAMBETTOLA
DEON,VALBERTO,ITALIANA,22/8/1945,M,11/13/2021,11/13/2031,CAMPOBASSO
TOBA,ERIKA,ITALIANA,23/12/1918,F,1/4/2021,1/4/2031,TERAMO
DALFOVO,DELIO RENATO ANTONIO,ITALIANA,21/13/1936,M,28/1/2017,28/1/2027,TRENTO
GHOISIO,SABATINO NINO,ITALIANA,5/1/1998,M,26/7/2020,26/7/2030,TRENTO
FIZZAROTTI,DOMENICO TULLIO,ITALIANA,16/5/1934,M,12/1/2015,12/1/2025,VERCELLI
EAFOLLA,LIZZARDO,ITALIANA,13/10/1902,M,15/9/2019,15/9/2029,BARI
MENAPACE,GABRIELE SABATINO,ITALIANA,14/13/1931,M,24/7/2022,24/7/2032,PALERMO
CANZUTTI,ALBERTO GIORGIO,ITALIANA,22/1/1916,M,21/5/2020,21/5/2030,FIRENZE
DEPALMA,LUCA CARLO MARIO,ITALIANA,7/11/2000,M,23/7/2022,23/7/2032,PISA
VEZZOSI,ABRIZIO,ITALIANA,20/11/1919,M,22/7/2019,22/7/2029,CAMPOBASSO
GIZZONIO,RAFFAELE MARIO,ITALIANA,1/7/1925,M,13/10/2021,13/10/2031,BOLZANO
BAZZONI,FILIPPO DOMENICO,ITALIANA,28/7/1935,M,21/9/2021,21/9/2031,TERAMO
